webgazer.js:138927 loaded stored data into regression model
favicon.ico:1 Failed to load resource: the server responded with a status of 404 (Not Found)
webgazer.js:138659 Out of Border
webgazer.js:138659 Out of Border
2webgazer.js:138652 Red Border!
test1.js:13 x : 1194.5928184650375, y : 164.40068480077818, time stamp : 1626779942579
test1.js:13 x : 1204.726379081567, y : 168.75017822735072, time stamp : 1626779943920
test1.js:13 x : 1038.5356634287625, y : 229.71920668312652, time stamp : 1626779945230
test1.js:13 x : 1224.6440994911038, y : 32.11893620907011, time stamp : 1626779946513
test1.js:13 x : 904.0818180889897, y : 162.85265790441903, time stamp : 1626779947854
test1.js:13 x : 587.0744618319802, y : 181.0447956622505, time stamp : 1626779949160
test1.js:13 x : 621.6457498578357, y : 434.4312587309843, time stamp : 1626779950485
test1.js:13 x : 478.2261932760997, y : 240.78100946806038, time stamp : 1626779951846
test1.js:13 x : 653.7249301251413, y : 236.72913455884992, time stamp : 1626779953268
test1.js:13 x : 504.06269819683837, y : 127.35056145257525, time stamp : 1626779954614
test1.js:13 x : 698.425191578959, y : 241.27083312495924, time stamp : 1626779955940
11webgazer.js:138652 Red Border!
test1.js:13 x : 1062.8855882624587, y : 261.7761026916373, time stamp : 1626779957292
test1.js:13 x : 695.5433525528239, y : 2.076027525849579, time stamp : 1626779958602
test1.js:13 x : 869.1092008604787, y : 275.1964639006812, time stamp : 1626779959941
test1.js:13 x : 373.7896690198022, y : 140.8258344289425, time stamp : 1626779961261
test1.js:13 x : 423.01025210869705, y : 46.01786717266975, time stamp : 1626779962533
test1.js:13 x : 437.79654700235324, y : 145.12897758580004, time stamp : 1626779963826
test1.js:13 x : 567.1717829483377, y : 129.30484339252152, time stamp : 1626779965126
test1.js:13 x : 353.7768924360426, y : 264.89397619357834, time stamp : 1626779966444
test1.js:13 x : 420.6612975419115, y : 265.67593438124493, time stamp : 1626779967780
test1.js:13 x : 696.9466111394871, y : 160.34962065537124, time stamp : 1626779969103
test1.js:13 x : 600.4067933087912, y : 475.2693429491684, time stamp : 1626779970483
test1.js:13 x : 698.731725014133, y : 275.5872583111989, time stamp : 1626779971909
test1.js:13 x : 1128.3961911199642, y : 234.25684492361358, time stamp : 1626779973502
test1.js:13 x : 227.3611466038817, y : 973.7316487037723, time stamp : 1626779974910
test1.js:13 x : 625.1830792215911, y : 327.5944944788101, time stamp : 1626779976279
test1.js:13 x : 365.1006584661899, y : 391.84247989354117, time stamp : 1626779977568
test1.js:13 x : 518.7928453214757, y : 465.1310265214025, time stamp : 1626779978879
test1.js:13 x : 562.0157878754497, y : 424.7397702738796, time stamp : 1626779980194
test1.js:13 x : 548.5000725563295, y : 387.9843613670056, time stamp : 1626779981516
test1.js:13 x : 596.9283562090893, y : 415.91918322836295, time stamp : 1626779982805
test1.js:13 x : 455.51564214736203, y : 452.59120571518633, time stamp : 1626779984087
test1.js:13 x : 726.0180815511653, y : 619.3169636554112, time stamp : 1626779985411
test1.js:13 x : 415.98617374536195, y : 395.8630834985451, time stamp : 1626779986726
test1.js:13 x : 601.9546236776314, y : 397.05707478987256, time stamp : 1626779988034
test1.js:13 x : 623.0792404377405, y : 392.52334031874005, time stamp : 1626779989312
test1.js:13 x : 527.0376438635952, y : 418.11661777180404, time stamp : 1626779990658
test1.js:13 x : 475.96847825967893, y : 346.8230341381281, time stamp : 1626779992027
test1.js:13 x : 743.1843704194844, y : 442.08936200194427, time stamp : 1626779993314
test1.js:13 x : 805.2602144541795, y : 505.50430382844115, time stamp : 1626779994743
test1.js:13 x : 955.4303032564854, y : 378.06197099437884, time stamp : 1626779996039
